response_id,call_timestamp,calling_source,matched_spot_time,matched_end_time,matched_tfn,station,creative,impressions,attribution_window,attribution_status,weight
16,2024-07-01 17:22:02,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
17,2024-07-01 17:24:39,800-513-0561,2024-07-01 11:53:37,2024-07-01 12:53:37,800-513-0561,Station B,Creative 2,803.0,60 minutes,Attributed (TFN only),
18,2024-07-01 17:04:43,800-970-4396,2024-07-01 13:05:58,2024-07-01 13:35:58,800-970-4396,Station A,Creative 1,140.0,30 minutes,Attributed (TFN only),
19,2024-07-01 16:55:04,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN only),
20,2024-07-01 17:44:41,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
21,2024-07-01 17:42:51,800-469-0716,2024-07-01 09:40:24,2024-07-01 10:10:24,800-469-0716,Station A,Creative 1,113.0,30 minutes,Attributed (TFN only),
22,2024-07-01 18:00:44,800-696-4783,2024-07-01 18:00:44,2024-07-01 18:30:44,800-696-4783,Station A,Creative 2,607.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
22,2024-07-01 18:00:44,800-696-4783,2024-07-01 18:00:44,2024-07-01 18:30:44,800-696-4783,Station A,Creative 2,607.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
23,2024-07-01 16:29:43,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
23,2024-07-01 16:29:43,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
24,2024-07-01 18:17:11,800-372-3087,2024-07-01 18:17:11,2024-07-01 19:17:11,800-372-3087,Station C,Creative 3,387.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
24,2024-07-01 18:17:11,800-372-3087,2024-07-01 18:17:11,2024-07-01 19:17:11,800-372-3087,Station C,Creative 3,387.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
25,2024-07-01 18:34:13,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
26,2024-07-01 17:21:15,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
27,2024-07-01 16:24:05,800-513-0561,2024-07-01 11:53:37,2024-07-01 12:53:37,800-513-0561,Station B,Creative 2,803.0,60 minutes,Attributed (TFN only),
28,2024-07-01 16:43:36,800-830-5338,2024-07-01 09:21:39,2024-07-01 09:51:39,800-830-5338,Station B,Creative 1,354.0,30 minutes,Attributed (TFN only),
29,2024-07-01 16:43:49,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
30,2024-07-01 16:29:10,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
30,2024-07-01 16:29:10,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
31,2024-07-01 16:21:05,800-209-4714,2024-07-01 10:58:01,2024-07-01 11:58:01,800-209-4714,Station C,Creative 3,155.0,60 minutes,Attributed (TFN only),
32,2024-07-01 16:30:28,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
32,2024-07-01 16:30:28,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
33,2024-07-01 16:47:44,800-785-2933,2024-07-01 16:47:39,2024-07-01 17:17:39,800-785-2933,Station A,Creative 3,905.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
33,2024-07-01 16:47:44,800-785-2933,2024-07-01 16:47:39,2024-07-01 17:17:39,800-785-2933,Station A,Creative 3,905.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
34,2024-07-01 16:56:24,800-970-4396,2024-07-01 13:05:58,2024-07-01 13:35:58,800-970-4396,Station A,Creative 1,140.0,30 minutes,Attributed (TFN only),
35,2024-07-01 16:18:56,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
36,2024-07-01 15:34:06,800-314-0253,2024-07-01 09:11:51,2024-07-01 09:41:51,800-314-0253,Station B,Creative 2,955.0,30 minutes,Attributed (TFN only),
37,2024-07-01 16:19:13,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
38,2024-07-01 16:19:48,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
39,2024-07-01 16:21:59,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
39,2024-07-01 16:21:59,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
40,2024-07-01 16:22:53,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
41,2024-07-01 17:18:59,800-994-9120,2024-07-01 17:18:59,2024-07-01 18:18:59,800-994-9120,Station C,Creative 2,475.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
41,2024-07-01 17:18:59,800-994-9120,2024-07-01 17:18:59,2024-07-01 18:18:59,800-994-9120,Station C,Creative 2,475.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
42,2024-07-01 16:21:43,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
43,2024-07-01 16:19:53,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
44,2024-07-01 16:23:07,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
45,2024-07-01 16:43:42,800-657-9044,2024-07-01 16:42:57,2024-07-01 17:12:57,800-657-9044,Station C,Creative 3,534.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
45,2024-07-01 16:43:42,800-657-9044,2024-07-01 16:42:57,2024-07-01 17:12:57,800-657-9044,Station C,Creative 3,534.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
46,2024-07-01 16:44:11,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
47,2024-07-01 16:47:39,800-785-2933,2024-07-01 16:47:39,2024-07-01 17:17:39,800-785-2933,Station A,Creative 3,905.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
47,2024-07-01 16:47:39,800-785-2933,2024-07-01 16:47:39,2024-07-01 17:17:39,800-785-2933,Station A,Creative 3,905.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
48,2024-07-01 16:46:58,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
49,2024-07-01 16:47:48,800-510-2774,2024-07-01 11:57:29,2024-07-01 12:27:29,800-510-2774,Station C,Creative 1,641.0,30 minutes,Attributed (TFN only),
50,2024-07-01 15:45:37,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
51,2024-07-01 15:57:37,800-679-0284,2024-07-01 14:44:36,2024-07-01 15:44:36,800-679-0284,Station C,Creative 3,313.0,60 minutes,Attributed (TFN only),
52,2024-07-01 16:22:19,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
52,2024-07-01 16:22:19,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
53,2024-07-01 16:25:32,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
54,2024-07-01 16:30:03,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
54,2024-07-01 16:30:03,800-974-3219,2024-07-01 16:29:10,2024-07-01 16:59:10,800-974-3219,Station A,Creative 2,711.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
55,2024-07-01 16:38:30,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
55,2024-07-01 16:38:30,800-401-8339,2024-07-01 16:21:59,2024-07-01 16:51:59,800-401-8339,Station A,Creative 3,760.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
56,2024-07-01 16:43:49,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
57,2024-07-01 16:52:10,800-830-5338,2024-07-01 09:21:39,2024-07-01 09:51:39,800-830-5338,Station B,Creative 1,354.0,30 minutes,Attributed (TFN only),
58,2024-07-01 16:54:26,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN only),
59,2024-07-01 16:47:28,800-830-5338,2024-07-01 09:21:39,2024-07-01 09:51:39,800-830-5338,Station B,Creative 1,354.0,30 minutes,Attributed (TFN only),
60,2024-07-01 16:19:40,800-209-4714,2024-07-01 10:58:01,2024-07-01 11:58:01,800-209-4714,Station C,Creative 3,155.0,60 minutes,Attributed (TFN only),
61,2024-07-01 16:29:25,800-596-3911,2024-07-01 16:29:25,2024-07-01 16:59:25,800-596-3911,Station B,Creative 3,507.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
61,2024-07-01 16:29:25,800-596-3911,2024-07-01 16:29:25,2024-07-01 16:59:25,800-596-3911,Station B,Creative 3,507.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
62,2024-07-01 16:23:09,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
63,2024-07-01 16:27:40,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
64,2024-07-01 16:31:54,800-913-9807,2024-07-01 09:42:24,2024-07-01 10:12:24,800-913-9807,Station B,Creative 2,628.0,30 minutes,Attributed (TFN only),
65,2024-07-01 16:45:39,800-830-5338,2024-07-01 09:21:39,2024-07-01 09:51:39,800-830-5338,Station B,Creative 1,354.0,30 minutes,Attributed (TFN only),
66,2024-07-01 16:42:57,800-657-9044,2024-07-01 16:42:57,2024-07-01 17:12:57,800-657-9044,Station C,Creative 3,534.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
66,2024-07-01 16:42:57,800-657-9044,2024-07-01 16:42:57,2024-07-01 17:12:57,800-657-9044,Station C,Creative 3,534.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
67,2024-07-01 16:56:28,800-970-4396,2024-07-01 13:05:58,2024-07-01 13:35:58,800-970-4396,Station A,Creative 1,140.0,30 minutes,Attributed (TFN only),
68,2024-07-01 16:57:10,800-970-4396,2024-07-01 13:05:58,2024-07-01 13:35:58,800-970-4396,Station A,Creative 1,140.0,30 minutes,Attributed (TFN only),
69,2024-07-01 14:32:36,800-497-4105,2024-07-01 14:32:36,2024-07-01 15:02:36,800-497-4105,Station A,Creative 1,865.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
69,2024-07-01 14:32:36,800-497-4105,2024-07-01 14:32:36,2024-07-01 15:02:36,800-497-4105,Station A,Creative 1,865.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
70,2024-07-01 14:04:31,800-305-9236,2024-07-01 14:04:31,2024-07-01 14:34:31,800-305-9236,Station C,Creative 1,671.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
70,2024-07-01 14:04:31,800-305-9236,2024-07-01 14:04:31,2024-07-01 14:34:31,800-305-9236,Station C,Creative 1,671.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
71,2024-07-01 14:35:07,800-497-4105,2024-07-01 14:32:36,2024-07-01 15:02:36,800-497-4105,Station A,Creative 1,865.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
71,2024-07-01 14:35:07,800-497-4105,2024-07-01 14:32:36,2024-07-01 15:02:36,800-497-4105,Station A,Creative 1,865.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
72,2024-07-01 14:22:02,800-448-2157,2024-07-01 14:22:02,2024-07-01 14:52:02,800-448-2157,Station B,Creative 1,109.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
72,2024-07-01 14:22:02,800-448-2157,2024-07-01 14:22:02,2024-07-01 14:52:02,800-448-2157,Station B,Creative 1,109.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
73,2024-07-01 14:17:42,800-209-4714,2024-07-01 10:58:01,2024-07-01 11:58:01,800-209-4714,Station C,Creative 3,155.0,60 minutes,Attributed (TFN only),
74,2024-07-01 14:24:04,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
75,2024-07-01 14:20:36,800-836-9471,2024-07-01 14:20:36,2024-07-01 14:50:36,800-836-9471,Station C,Creative 2,593.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
75,2024-07-01 14:20:36,800-836-9471,2024-07-01 14:20:36,2024-07-01 14:50:36,800-836-9471,Station C,Creative 2,593.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
76,2024-07-01 14:19:56,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
77,2024-07-01 13:53:32,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
77,2024-07-01 13:53:32,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
78,2024-07-01 13:55:19,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
79,2024-07-01 13:45:15,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
80,2024-07-01 14:19:38,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
81,2024-07-01 14:20:20,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
82,2024-07-01 14:20:06,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
83,2024-07-01 14:15:09,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
84,2024-07-01 14:19:22,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
85,2024-07-01 14:20:35,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
86,2024-07-01 14:05:29,800-981-0402,2024-07-01 14:05:29,2024-07-01 14:35:29,800-981-0402,Station C,Creative 2,543.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
86,2024-07-01 14:05:29,800-981-0402,2024-07-01 14:05:29,2024-07-01 14:35:29,800-981-0402,Station C,Creative 2,543.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
87,2024-07-01 14:23:56,800-325-9146,2024-07-01 08:05:31,2024-07-01 08:35:31,800-325-9146,Station B,Creative 3,750.0,30 minutes,Attributed (TFN only),
88,2024-07-01 14:38:50,800-509-4349,2024-07-01 14:38:50,2024-07-01 15:38:50,800-509-4349,Station C,Creative 1,763.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
88,2024-07-01 14:38:50,800-509-4349,2024-07-01 14:38:50,2024-07-01 15:38:50,800-509-4349,Station C,Creative 1,763.0,60 minutes,Attributed (TFN + Time Window + Weights),20.0
89,2024-07-01 14:27:50,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
90,2024-07-01 14:47:13,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
91,2024-07-01 14:46:56,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN only),
92,2024-07-01 13:22:32,800-687-1712,2024-07-01 12:43:05,2024-07-01 13:13:05,800-687-1712,Station B,Creative 1,196.0,30 minutes,Attributed (TFN only),
93,2024-07-01 13:54:45,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
93,2024-07-01 13:54:45,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
94,2024-07-01 13:57:02,800-613-5285,2024-07-01 10:54:48,2024-07-01 11:54:48,800-613-5285,Station B,Creative 1,540.0,60 minutes,Attributed (TFN only),
95,2024-07-01 13:49:55,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
96,2024-07-01 13:54:27,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
96,2024-07-01 13:54:27,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
97,2024-07-01 14:01:43,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
97,2024-07-01 14:01:43,800-906-3468,2024-07-01 13:53:29,2024-07-01 14:23:29,800-906-3468,Station B,Creative 3,752.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
98,2024-07-01 14:20:13,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
99,2024-07-01 14:21:16,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
100,2024-07-01 14:19:10,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
101,2024-07-01 14:20:43,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
102,2024-07-01 14:19:48,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
103,2024-07-01 14:44:16,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
104,2024-07-01 14:45:14,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
105,2024-07-01 13:45:18,800-916-5983,2024-07-01 08:46:16,2024-07-01 09:16:16,800-916-5983,Station A,Creative 2,878.0,30 minutes,Attributed (TFN only),
106,2024-07-01 12:20:00,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
107,2024-07-01 12:56:36,800-963-1351,2024-07-01 12:55:33,2024-07-01 13:25:33,800-963-1351,Station B,Creative 3,206.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
107,2024-07-01 12:56:36,800-963-1351,2024-07-01 12:55:33,2024-07-01 13:25:33,800-963-1351,Station B,Creative 3,206.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
108,2024-07-01 12:55:33,800-963-1351,2024-07-01 12:55:33,2024-07-01 13:25:33,800-963-1351,Station B,Creative 3,206.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
108,2024-07-01 12:55:33,800-963-1351,2024-07-01 12:55:33,2024-07-01 13:25:33,800-963-1351,Station B,Creative 3,206.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
109,2024-07-01 12:46:57,800-585-4202,2024-07-01 12:46:57,2024-07-01 13:16:57,800-585-4202,Station A,Creative 1,359.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
109,2024-07-01 12:46:57,800-585-4202,2024-07-01 12:46:57,2024-07-01 13:16:57,800-585-4202,Station A,Creative 1,359.0,30 minutes,Attributed (TFN + Time Window + Weights),30.0
110,2024-07-01 13:20:55,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
111,2024-07-01 13:32:11,800-485-3671,2024-07-01 10:21:06,2024-07-01 11:21:06,800-485-3671,Station B,Creative 2,287.0,60 minutes,Attributed (TFN only),
